lecture_year,semester,campus,course_no,title,target_year,capacity,professor,credit,time_place,language,is_english,note,syllabus_url,ai_description
2025,1,국제,EE211-00,확률및랜덤변수(컴퓨터공학과),2,60,송주빈,3.0,"월 15:00-16:15 (전220)
수 15:00-16:15 (전220)",,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=004463&p_code=EE21100&p_subjt=EE211&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724051679,"확률 및 랜덤 변수 과목은 불확실한 현상을 수학적으로 모델링하고 분석하는 기초 이론을 다룹니다. 주로 확률 공간, 확률 분포, 기댓값 및 분산 등의 개념을 학습하며, 랜덤 변수의 성질과 응용에 대해서도 심화적으로 공부합니다. 이 과목은 데이터 분석, 머신러닝, 통신 시스템 등 컴퓨터공학의 다양한 분야에서 필수적인 기초 지식을 제공합니다."
2025,1,국제,CSE304-00,알고리즘,3,52,한치근,3.0,"월 13:00-14:50 (B01)
수 13:00-14:50 (B01)",,False,선수과목:자료구조 / 본인 노트북으로 실습(필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=006189&p_code=CSE30400&p_subjt=CSE304&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724053691,"알고리즘은 문제를 해결하기 위한 단계별 절차나 방법을 의미합니다. 컴퓨터 과학에서 데이터 처리 및 계산의 효율성을 높이기 위해 다양한 알고리즘이 개발됩니다. 이 과목에서는 알고리즘의 설계, 분석, 최적화 기술을 배우고, 실제 문제 해결에 적용하는 방법을 탐구합니다."
2025,1,국제,SWCON104-00,웹/파이선프로그래밍(컴퓨터공학과),1,150,이성원,3.0,"월 13:00-14:50 (전205)
수 13:00-14:50 (전205)",영어(부분),True,본인 노트북으로 실습 (필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=SWCON10400&p_subjt=SWCON104&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724055719,"웹/파이선프로그래밍 과목은 웹 애플리케이션 개발에 필요한 기본 개념과 기술을 가르칩니다. 주로 파이썬 프로그래밍 언어를 사용하여 서버 사이드 로직을 구현하고, HTML, CSS, JavaScript를 이용한 사용자 인터페이스를 제작합니다. 이 과목을 통해 학생들은 웹 개발의 전반적인 과정과 최신 프레임워크 사용법을 익힐 수 있습니다."
2025,1,국제,CSE302-00,컴퓨터네트워크,3,61,이성원,3.0,"월 15:00-16:15 (전136)
수 15:00-16:15 (전136)",영어(부분),True,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=CSE30200&p_subjt=CSE302&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724057724,"컴퓨터 네트워크는 여러 컴퓨터와 장치들이 상호 연결되어 정보를 주고받을 수 있도록 하는 기술 및 이론을 다룹니다. 이 과목에서는 네트워크의 구조, 프로토콜, 기기 및 데이터 전송 방식을 학습하며, 인터넷의 기본 작동 원리를 이해하도록 돕습니다. 또한, 보안, 성능 최적화 및 네트워크 관리에 관한 주요 개념도 포함됩니다."
2025,1,국제,SWCON221-00,마이크로서비스프로그래밍(컴퓨터공학과),2,60,이성원,3.0,"월 17:00-18:50 (B09)
수 17:00-18:50 (B09)",영어(부분),True,본인 노트북으로 실습 (필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=SWCON22100&p_subjt=SWCON221&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724059760,"마이크로서비스프로그래밍은 소프트웨어 개발에서 마이크로서비스 아키텍처를 이해하고 구현하는 방법을 다루는 과목입니다. 이 과목은 독립적으로 배포 가능한 서비스 간의 상호작용, API 설계, 데이터 관리 및 DevOps 관행 등을 포함하여, 현대 웹 애플리케이션의 복잡성을 효과적으로 관리할 수 있도록 돕습니다. 학생들은 실제 사례를 통해 마이크로서비스를 설계하고 구축하는 경험을 쌓게 됩니다."
2025,1,국제,SWCON370-00,풀스택서비스프로그래밍(컴퓨터공학과),3,30,이성원,3.0,"화 13:00-14:50 (B05)
목 13:00-14:50 (B05)",,False,디자인소프트웨어 마이크로디그리 교과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=SWCON37000&p_subjt=SWCON370&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724061776,"풀스택서비스프로그래밍 과목은 웹 애플리케이션 개발에 필요한 프론트엔드와 백엔드 기술을 종합적으로 학습하는 수업입니다. 학생들은 HTML, CSS, JavaScript와 같은 기본 기술은 물론, 서버 측 프로그래밍, 데이터베이스 관리 및 API 설계 등의 내용을 익힙니다. 최종적으로, 실제 프로젝트를 통해 통합적이고 실용적인 개발 경험을 쌓는 것을 목표로 합니다."
2025,1,국제,SWCON492-00,풀스택서비스네트워킹(컴퓨터공학과),4,60,이성원,3.0,"화 15:00-16:15 (전136)
목 15:00-16:15 (전136)",,False,XR입출력기술 마이크로디그리 교과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=SWCON49200&p_subjt=SWCON492&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724063778,"풀스택서비스네트워킹 과목은 웹 애플리케이션 개발에 필요한 클라이언트와 서버 측 기술을 통합적으로 학습하는 과정입니다. 학생들은 다양한 프로그래밍 언어, 프레임워크, 데이터베이스 및 네트워크 프로토콜을 활용하여 전체적인 시스템 구축 능력을 배양하게 됩니다. 이 과목은 이론과 실습을 통해 실제 서비스 개발에 필요한 종합적인 기술을 습득하는 데 중점을 둡니다."
2025,1,국제,SWCON201-00,오픈소스SW개발방법및도구(컴퓨터공학과),2,150,이성원,3.0,"화 17:00-18:15 (전205)
목 17:00-18:15 (전205)",영어(부분),True,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=SWCON20100&p_subjt=SWCON201&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724065809,"오픈소스SW개발방법및도구 과목은 오픈소스 소프트웨어의 개발 원칙과 방법론, 그리고 이를 지원하는 다양한 도구들을 배우는 강좌입니다. 학생들은 실제 오픈소스 프로젝트를 통해 협업 및 버전 관리, 코드 리뷰 등의 실습을 경험하며 개발 역량을 강화합니다. 이 과목은 소프트웨어 공학의 기초를 바탕으로 실무 중심의 기술 습득을 목표로 합니다."
2025,1,국제,EE211-05,확률및랜덤변수(컴퓨터공학과),2,60,홍인기,3.0,"화 15:00-16:15 (전220)
목 15:00-16:15 (전220)",,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=014891&p_code=EE21105&p_subjt=EE211&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724067830,"확률 및 랜덤 변수 과목은 불확실한 사건의 수학적 모델링과 분석에 중점을 둡니다. 학생들은 확률 이론, 랜덤 변수의 성질, 기대값 및 분산 계산, 그리고 여러 확률 분포를 학습하게 됩니다. 이 과목은 데이터 분석, 머신러닝 및 신호 처리와 같은 컴퓨터공학의 다양한 분야에서 중요한 기초 지식을 제공합니다."
2025,1,국제,CSE103-01,객체지향프로그래밍,1,150,이대호,3.0,- (온라인),,False,"소프트웨어융합대학/전자공학과 전공(다전공 포함) 학생은 수강 불가, 시험은 7주차(4월 21일)/15주차(6월16일) 월요일 18:30~20:00 대면으로 전자정보관에서 진행 (본인 노트북으로 실시, 필요시 노트북 대여 가능, 타 과목과 시험이 중복되어도 시간 변동 없음), 실감미디어기술 마이크로디그리 교과목",https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=015184&p_code=CSE10301&p_subjt=CSE103&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724069868,"객체지향프로그래밍(Object-Oriented Programming, OOP)은 데이터와 그 데이터를 처리하는 메소드를 객체라는 단위로 캡슐화하여 프로그래밍하는 패러다임입니다. OOP의 주요 원칙으로는 상속, 다형성, 추상화, 캡슐화가 있으며, 이들 원칙을 통해 코드의 재사용성과 유지보수성을 높일 수 있습니다. 다양한 프로그래밍 언어에서 객체지향 기술을 적용하여 소프트웨어 개발의 효율성을 극대화합니다."
